Local Time,Unix Time,Temperature,Gas,Humidity,Pressure,Altitude,
Wed Feb  8 16:17:40 2023,1675901860.877894,27.5704296875,9947,43.215786516845675,1015.0123926912606,-14.662802476908688,
Wed Feb  8 16:17:43 2023,1675901863.071763,27.5704296875,1686,39.978992226617535,1015.0072047156988,-14.61966967997564,
Wed Feb  8 16:17:45 2023,1675901865.2656136,27.574140625,3079,36.82281437006533,1014.9994158326326,-14.55491261886113,
Wed Feb  8 16:17:47 2023,1675901867.459507,27.576875,4164,34.40157112632588,1014.9934945245965,-14.505682376213757,
Wed Feb  8 16:17:49 2023,1675901869.659186,27.5753125,5121,32.526239355744615,1014.9944076573618,-14.513274252390005,
Wed Feb  8 16:17:51 2023,1675901871.8592036,27.567890625,6194,31.099922155903823,1014.9909628987954,-14.484634159847749,
Wed Feb  8 16:17:54 2023,1675901874.0524719,27.554609375,7085,30.027631986433494,1014.9883477483162,-14.462891465456966,
Wed Feb  8 16:17:56 2023,1675901876.2469733,27.537421875,7885,29.504555018397436,1014.9862847690902,-14.445739561234364,
Wed Feb  8 16:17:58 2023,1675901878.4405308,27.5223828125,8645,29.311595688328307,1014.9773457213481,-14.371418714181406,
Wed Feb  8 16:18:00 2023,1675901880.6338272,27.5071484375,9356,29.282943644287908,1014.9750044767387,-14.35195309877062,
Wed Feb  8 16:18:02 2023,1675901882.8282926,27.4880078125,10065,29.133674884296447,1014.9835889528404,-14.423326116985788,
Wed Feb  8 16:18:05 2023,1675901885.0222452,27.463203125,10741,28.635121217053133,1014.9794843866014,-14.389200009114496,
Wed Feb  8 16:18:07 2023,1675901887.2218242,27.4376171875,11360,28.149167131538128,1014.9827492489529,-14.416344675718706,
Wed Feb  8 16:18:09 2023,1675901889.4214003,27.41125,12338,27.98430767190888,1014.9899245881736,-14.476001518431097,
Wed Feb  8 16:18:11 2023,1675901891.6142495,27.3852734375,12967,27.78180247994681,1014.9890885778789,-14.469050821462607,
Wed Feb  8 16:18:13 2023,1675901893.8075998,27.35890625,13539,27.568774113806363,1014.9910705637143,-14.485529298732631,
Wed Feb  8 16:18:16 2023,1675901896.0072827,27.331953125,14020,27.453189387135545,1014.9869083035829,-14.450923719132334,
Wed Feb  8 16:18:18 2023,1675901898.200745,27.305,14460,27.353896002144754,1014.9879289746834,-14.459409723883583,
Wed Feb  8 16:18:20 2023,1675901900.4002805,27.276484375,14959,27.254560298257438,1014.982942714802,-14.417953184182874,
Wed Feb  8 16:18:22 2023,1675901902.5997753,27.2462109375,15216,27.230593623088996,1014.9820022260641,-14.41013379614359,
Wed Feb  8 16:18:24 2023,1675901904.7926884,27.217890625,15559,27.735808219982665,1014.982512612926,-14.414377242601788,
Wed Feb  8 16:18:26 2023,1675901906.98564,27.192890625,16056,28.199673922067728,1014.9763328827579,-14.362997758956254,
Wed Feb  8 16:18:29 2023,1675901909.185589,27.1649609375,16377,28.164835559588038,1014.9792016120996,-14.386848966523452,
Wed Feb  8 16:18:31 2023,1675901911.385133,27.138984375,16775,28.216965842091128,1014.9783374748893,-14.379664357225279,
Wed Feb  8 16:18:33 2023,1675901913.584504,27.1149609375,17060,28.350718677754355,1014.9720134762828,-14.327085219451911,
Wed Feb  8 16:18:35 2023,1675901915.7764552,27.092109375,17436,28.495557955182615,1014.97623788967,-14.362207965891695,
Wed Feb  8 16:18:37 2023,1675901917.972306,27.06828125,17801,28.580602701084054,1014.9754117149333,-14.355338968049022,
Wed Feb  8 16:18:40 2023,1675901920.1663623,27.0434765625,18272,28.371999984185834,1014.9781748444274,-14.378312214548698,
Wed Feb  8 16:18:42 2023,1675901922.3656793,27.018671875,18486,28.131192841157265,1014.9740235294774,-14.34379727970674,
Wed Feb  8 16:18:44 2023,1675901924.5591118,26.9915234375,18962,27.993505377544253,1014.9781433183007,-14.378050099906934,
Wed Feb  8 16:18:46 2023,1675901926.7589693,26.9641796875,19192,27.839722027310927,1014.9750301263085,-14.35216635505691,
Wed Feb  8 16:18:48 2023,1675901928.9587512,26.938203125,19480,27.729471842544353,1014.9775981978944,-14.37351785676321,
Wed Feb  8 16:18:51 2023,1675901931.1590893,26.9091015625,19811,27.52188984510649,1014.9785229601122,-14.381206518824667,
Wed Feb  8 16:18:53 2023,1675901933.3524628,26.880390625,20210,27.282346701020742,1014.9800807469869,-14.3941582644203,
Wed Feb  8 16:18:55 2023,1675901935.552218,26.851875,20491,27.08629023577116,1014.9819531544694,-14.40972580615177,
Wed Feb  8 16:18:57 2023,1675901937.752416,26.81984375,20760,26.943983369150605,1014.9849983261707,-14.435043876600124,
Wed Feb  8 16:18:59 2023,1675901939.9523048,26.7872265625,20937,26.850112271965838,1014.9819013053507,-14.409294723305035,
Wed Feb  8 16:19:02 2023,1675901942.1524632,26.7563671875,21157,26.97123818141666,1014.9730305525444,-14.335541436696765,
Wed Feb  8 16:19:04 2023,1675901944.351852,26.72375,21239,27.07618534511424,1014.9733792647697,-14.338440712634421,
Wed Feb  8 16:19:06 2023,1675901946.551637,26.6958203125,21445,27.47247779453162,1014.9692789341434,-14.304349542812362,
Wed Feb  8 16:19:08 2023,1675901948.7517712,26.661640625,21869,27.696419173294444,1014.9636166913704,-14.257272063152218,
Wed Feb  8 16:19:10 2023,1675901950.9514024,26.6278515625,22109,27.634309400002074,1014.9568600562488,-14.20109521929757,
Wed Feb  8 16:19:13 2023,1675901953.1508894,26.5962109375,22355,27.556221451646575,1014.9501497165452,-14.145302990767943,
Wed Feb  8 16:19:15 2023,1675901955.3502967,26.567109375,22630,27.48378183070465,1014.9475770089655,-14.123912475971212,
Wed Feb  8 16:19:17 2023,1675901957.5505085,26.53390625,22840,27.411062455531216,1014.9417635488711,-14.075576893207264,
Wed Feb  8 16:19:19 2023,1675901959.750097,26.5028515625,24108,27.338561615624577,1014.9411768021001,-14.070698418245648,
Wed Feb  8 16:19:21 2023,1675901961.949742,26.4743359375,24307,27.303991779621924,1014.9378220237736,-14.042805247610804,
Wed Feb  8 16:19:24 2023,1675901964.1492553,26.4493359375,24468,27.307394932510174,1014.9281145365359,-13.962092311481726,
Wed Feb  8 16:19:26 2023,1675901966.3490624,26.4204296875,24632,27.34817980231869,1014.9344741590294,-14.014969485255973,
